ID,ID_STUDY,HabitatCat,RV,Metric.for.merge,DisturbCat,Year.start.data.were.taken,Year.end.data.were.taken,Control,Latitude,Longitude,Diversity,Abundance,Nutrient,Nitrogen,CMI_6190,CMI_avg_diff,CMI_ext
4488,1,Forest,Annual average current velocity bedrock,Water characteristic,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4489,1,Forest,Annual average current velocity depositional,Water characteristic,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4490,1,Forest,Annual average current velocity riffle,Water characteristic,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4491,1,Forest,Annual average modified NCBI bedrock,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.051293294,,,,63.22,-4.38,17.79
4492,1,Forest,Annual average modified NCBI depositional,Diversity,Logging,1977,1993,ref site,35.12,-83.34,0,,,,63.22,-4.38,17.79
4493,1,Forest,Annual average modified NCBI riffle,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.225439764,,,,63.22,-4.38,17.79
4494,1,Forest,Annual average percentage Baetis bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.094187215,,,63.22,-4.38,17.79
4495,1,Forest,Annual average percentage Baetis depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,0,,,63.22,-4.38,17.79
4496,1,Forest,Annual average percentage Baetis riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-1.159606801,,,63.22,-4.38,17.79
4497,1,Forest,Annual average shedder-scraper indices bedrock,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.423269733,,,,63.22,-4.38,17.79
4498,1,Forest,Annual average shedder-scraper indices depositional,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.980995684,,,,63.22,-4.38,17.79
4499,1,Forest,Annual average shedder-scraper indices riffle,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-1.271432586,,,,63.22,-4.38,17.79
4500,1,Forest,Collector (% of total EPT abundance) bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.318922708,,,63.22,-4.38,17.79
4501,1,Forest,Collector (% of total EPT abundance) depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.182740493,,,63.22,-4.38,17.79
4502,1,Forest,Collector (% of total EPT abundance) riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.177774946,,,63.22,-4.38,17.79
4503,1,Forest,EPT taxon richness bedrock,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.057158414,,,,63.22,-4.38,17.79
4504,1,Forest,EPT taxon richness depositional,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.128748983,,,,63.22,-4.38,17.79
4505,1,Forest,EPT taxon richness riffle,Diversity,Logging,1977,1993,ref site,35.12,-83.34,-0.084083117,,,,63.22,-4.38,17.79
4506,1,Forest,Filterer (% of total EPT abundance) bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.021053409,,,63.22,-4.38,17.79
4507,1,Forest,Filterer (% of total EPT abundance) depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.740586906,,,63.22,-4.38,17.79
4508,1,Forest,Filterer (% of total EPT abundance) riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.193594296,,,63.22,-4.38,17.79
4521,1,Forest,Predator (% of total EPT abundance) bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.227267268,,,63.22,-4.38,17.79
4522,1,Forest,Predator (% of total EPT abundance) depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.588934865,,,63.22,-4.38,17.79
4523,1,Forest,Predator (% of total EPT abundance) riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.674884921,,,63.22,-4.38,17.79
4524,1,Forest,Scraper (% of total EPT abundance) bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.095900324,,,63.22,-4.38,17.79
4525,1,Forest,Scraper (% of total EPT abundance) depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.427238908,,,63.22,-4.38,17.79
4526,1,Forest,Scraper (% of total EPT abundance) riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.017335908,,,63.22,-4.38,17.79
4527,1,Forest,Shredder (% of total EPT abundance) bedrock,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.491693093,,,63.22,-4.38,17.79
4528,1,Forest,Shredder (% of total EPT abundance) depositional,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.128201628,,,63.22,-4.38,17.79
4529,1,Forest,Shredder (% of total EPT abundance) riffle,Abundance,Logging,1977,1993,ref site,35.12,-83.34,,-0.299199838,,,63.22,-4.38,17.79
4530,1,Forest,Substratum median phi bedrock,Morphology,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4531,1,Forest,Substratum median phi depositional,Morphology,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4532,1,Forest,Substratum median phi riffle,Morphology,Logging,1977,1993,ref site,35.12,-83.34,,,,,63.22,-4.38,17.79
4682,2,Forest,Average annual sediment yields (kg ha-1) clearcut Natchez Trace,Water characteristic,Logging,1977,1980,ref site,35.72,-88.23,,,,,28.26,7.87,7.73
4683,2,Forest,Average annual sediment yields (kg ha-1) clearcut Pine Tree,Water characteristic,Logging,1977,1980,ref site,35.72,-88.23,,,,,28.26,7.87,7.73
